,0,1
4826,"['frosted', 'kickst', 'only', 'unsweetened']","['O', 'O', 'O', 'O']"
4827,"['alive', 'gini', 'masking', 'bitter', 'breckenridge']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4828,"['bottlefanta', 'enrergy', 'caribbean', 'jerked', '4pk', 'vanilla', 'pina', 'genuine']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
4829,"['fresh', 'kinnie', 'honeydew', 'rootbeer1', 'julmust', 'lit']","['O', 'B-BRA', 'B-FLA', 'O', 'B-BRA', 'O']"
4830,"['sprite', 'beverages', ""canfield's"", 'diet', 'chocolate', 'fudge']","['B-BRA', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'I-BRA']"
4831,"['medium', 'especial', 'kinnie', 'l', 'sierra', 'mist', 'pmgnt/blue']","['O', 'O', 'B-BRA', 'O', 'B-BRA', 'I-BRA', 'O']"
4832,"['crush', 'bt', 'sprecher', 'kettle', 'corn', 'rico']","['B-BRA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
4833,"['peace', 'lift', 'berghoff', '20oz-dark', '20.5oz']","['O', 'B-BRA', 'O', 'O', 'O']"
4834,"['barr', 'rootbweer', 'qoo', 'naranja']","['B-BRA', 'O', 'B-BRA', 'O']"
4835,"['open', '.95', 'k&c', '20oz*', 'pomegranate', 'blueberry', 'cocacolacherry', ""leinenkugel'""]","['O', 'O', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4836,"['to', 'wat', 'corn', 'kettle', 'stella', 'vanilla', 'pina', ""'n""]","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
4837,"['straw-melon', 'mello', 'yello', 'latin', 'aqua', 'bulb', 'selzer']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'O', 'O']"
4838,"['rasberry', 'gift', 'pie', 'pumpkin']","['O', 'O', 'B-FLA', 'I-FLA']"
4839,"['cananda', 'reusable', 'macadamia', 'cfccb/sccfcb', 'eucalyptus']","['O', 'O', 'B-FLA', 'O', 'B-FLA']"
4840,"['xtra', 'french', 'vanilla', 'eb', 'coconut', 'crm']","['O', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'O']"
4841,"['regular', 'drpepperzerocreamsoda', 'shasta']","['O', 'O', 'O']"
4842,"['fir', 'birthday', 'cake', 'ps', 'vernors', 'main']","['O', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
4843,"['voodo', 'rc', 'cola', 'caramel', 'vanilla', 'foodworks', 'kinnie', '2/$2', 'coke/pepsi/dr.']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O', 'O']"
4844,"['cherrypepsi', 'ameyal', 'apple', 'caramel', 'original', 'sunkist', 'lemon', 'tarragon', 'marshmellow12oz']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4845,"['bvs', 'amp', 'energy', 'honeydew', 'suger', '16', 'cobbler', 'peach', 'r34-bev-soda']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
4846,"['g2', 'plk', 'watermelon', '6p', 'chew', 'irish', 'cream', 'ale8', 'bev1']","['O', 'O', 'B-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4847,"['g2', 'berry', 'lemon', '2.00', 'lg', 'dream']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
4848,"['glass1', 'cherrypepsi', 'pepsi', 'pop-in', '1oz', 'chai', 'maountain']","['O', 'O', 'B-BRA', 'O', 'O', 'B-FLA', 'O']"
4849,"['mtd', 'pinea', 'caff']","['O', 'O', 'O']"
4850,"['flav', 'pmgnt/blue', '.5', '2/$2.50']","['O', 'O', 'O', 'O']"
4851,"['g&g', 'beat', 'brand', 'schwepper', 'monster', 'energy', 'pink', 'lemonade', 'mangolime']","['O', 'B-BRA', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
4852,"['pbk', 'bawls', 'sol', '2-liter']","['O', 'B-BRA', 'O', 'O']"
4853,"['29', 'veg']","['O', 'O']"
4854,"['-mountain', 'h.weinhards', 'butter', 'caramelized', 'staff', 'sm', 'dasani', 'apple', 'pie', 'zzzbvc']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4855,"['watermelon/strawberry', 'lucozade', 'kickstartblack', 'squirt', 'coke-cola']","['O', 'B-BRA', 'O', 'B-BRA', 'O']"
4856,"['sussex', 'golden', 'key', 'lime', 'la', 'big', 'red', '(soft', 'drink)', 'vanilla', 'butter']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA']"
4857,"['frescolita', 'cheerwine', 'blueberry', 'cobbler']","['B-BRA', 'B-BRA', 'B-FLA', 'I-FLA']"
4858,"['popcorn', 'cookies']","['B-FLA', 'O']"
4859,"['16fl', 'lemonadet', 'coke', 'sorbet', 'various', '0.5', 'drew']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
4860,['b2'],['O']
4861,"['mkt-dr', 'moxie', 'rt-live', 'co.']","['O', 'B-BRA', 'O', 'O']"
4862,"['suagar', 'sussex', 'golden', '-paper', 'can.', 'moxie']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'B-BRA']"
4863,"['liberty', 'srite']","['O', 'O']"
4864,"['bel', 'amp', 'energy', 'punch', 'strawberry', 'the', '50/50', 'creamy', 'mint', 'sugar-20oz']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4865,"['lemonaide', 'twists', 'pepsi', '20ozdiet']","['O', 'O', 'B-BRA', 'O']"
4866,"[""lay's"", '50/50', 'caramel1', 'chocolate', 'mint']","['O', 'B-BRA', 'O', 'B-FLA', 'I-FLA']"
4867,"['mkt-dietcherry', ""canfield's"", 'diet', 'chocolate', 'fudge', 'raisin', 'colat', 'create', 'bitter', 'neutralizer', 'medium', '6/7.5oz']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4868,"['mistic', 'bawls', 'bf', 'cw-soda', 'ameyal', 'three']","['O', 'B-BRA', 'O', 'O', 'B-BRA', 'O']"
4869,"['barrel', 'slope', 'rockstar', 'energy', 'peach', 'cobbler', '$.99', 'vault']","['O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
4870,"['lift', 'guacamole', 'pop1', 'selzter', 'pineapple', 'mango', '.75', 'ginerbread']","['B-BRA', 'B-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4871,"['sunrise', 'trippel']","['O', 'O']"
4872,"['2/250', 'mx', 'for', '7', 'up', 'pumpkin', 'spice', 'drpeper']","['O', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
4873,"['export', 'hibiscus', 'various', 'bottletopochico', 'shweppes', 'kiwi', 'berry', ""braq's"", 'size']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4874,"['ginger', 'pineapple']","['B-FLA', 'I-FLA']"
4875,"['crea', 'wintergreen']","['O', 'B-FLA']"
4876,"['cream', 'open', '2.79', 'dew20oz']","['B-FLA', 'O', 'O', 'O']"
4877,"['20fl.', 'gini', 'drpepper']","['O', 'B-BRA', 'O']"
4878,"['bundaber', 'tayberry']","['O', 'B-FLA']"
4879,"['latin', 'veg', '12.7', 'venom', 'energy', 'jalapeno', '.5l', 'cu']","['O', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'O', 'O']"
4880,"['baha', 'pepsi/chips', 'ale-can', 'lift']","['O', 'O', 'O', 'B-BRA']"
4881,"['og', 'tomato', 'olipop', ""n'"", 'cola-coke', 'cola', '4pk']","['O', 'B-FLA', 'O', 'O', 'B-BRA', 'B-FLA', 'O']"
4882,"['20oz-', 'bva', 'truffle1', 'cactus', 'cooler', 'style24oz']","['O', 'O', 'O', 'B-BRA', 'I-BRA', 'O']"
4883,"['raisin', 'cranberry', 'mr.pibb']","['B-FLA', 'I-FLA', 'O']"
4884,"['gini', '2for$3water/soda', '10fl', 'wink', '20-12oz']","['B-BRA', 'O', 'O', 'B-BRA', 'O']"
4885,"['bvd', 'goji', 'raspberry', 'zero20oz', 'kinnie', 'anise']","['O', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA']"
4886,"['tamerind', 'mint', 'creamy', '8oz.', 'bev-soda']","['O', 'B-FLA', 'I-FLA', 'O', 'O']"
4887,"['st', 'spr', 'orange', 'pineapple', 'cranb', 'diest', 'aquarius', 'mandarin', 'orange', 'cherryzero']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4888,"['li', 'lipton', 'fanta', 'cs']","['O', 'O', 'B-BRA', 'O']"
4889,"['paksprite', 'psu', 'berry', 'mint', 'surge', 'chocolate', 'milk']","['O', 'O', 'B-FLA', 'I-FLA', 'B-BRA', 'B-FLA', 'I-FLA']"
4890,"['three', 'green', 'tea', ""flamin'"", '8.5oz1', 'orange', 'spice', 'bvc-cocacola', '8.4oz']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4891,"['beverage21oz', 'cosmic', 'mint', 'peach', 'ale-8-one', 'apricot', 'chili']","['O', 'O', 'B-FLA', 'I-FLA', 'B-BRA', 'B-FLA', 'I-FLA']"
4892,"['bottle/can', 'full', 'throttle', 'li', ""stewart's"", 'fountain', 'classics', '.99']","['O', 'B-BRA', 'I-BRA', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'O']"
4893,"['fox', 'cheerwine', 'oz.2', 'usa', 'dr', ""brown's"", '6/pack']","['O', 'B-BRA', 'O', 'O', 'B-BRA', 'I-BRA', 'O']"
4894,"['012000204951', 'wink', 'milkshake', '(various)', 'unsweetened', 'cheerwine', 'orange', 'mandarin', '5.00', 'pap-']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
4895,"['pepsi', 'single', 'butter', 'cream', 'bbq', 'ft']","['B-BRA', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4896,"[""bvc-zbarq's"", 'cola-coke', 'melon', 'various', 'kids', ""duke's"", 'rum', 'butter', '8.5f']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4897,['trop'],['O']
4898,"['king', 'surge', 'cucumber', 'lime', 'flavor', 'sunkist', 'cherry', 'berry', 'sods']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4899,"['delaware', 'punch', 'plum', 'sprecher', 'vegging', 'ameyal', 'melona', 'type', '15.5']","['B-BRA', 'I-BRA', 'B-FLA', 'O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4900,"['carrot', 'lebron`s', 'grapefruit', 'pineapple', 'mandarian']","['B-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
4901,"['add-on', 'cinnamon', 'pie', 'bundaberg', 'fitz']","['O', 'B-FLA', 'I-FLA', 'O', 'O']"
4902,"['venom', 'energy', 'lime', 'cucumber', '335ml', 'creations', 'cherrypepsi', '20ozvernors']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O', 'O']"
4903,"['foam', 'dr', 'pepper', 'york', 'vernors', 'mamay', '1/24', '$6.99']","['O', 'B-BRA', 'I-BRA', 'O', 'B-BRA', 'B-FLA', 'O', 'O']"
4904,"['mini-', 'cannoli', 'tor-esp-italian', 'sahlae', 'dr.brown', 'cherry12oz']","['O', 'B-FLA', 'O', 'O', 'B-BRA', 'O']"
4905,"['cloudburst', 'prickly', 'pear', 'virgin', 'cokes', 'appletiser']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA']"
4906,"['tall', 'aquarius', 'mt.dew', 'tutifruit']","['O', 'B-BRA', 'O', 'O']"
4907,"['setlzer', 'cherry', 'mint', 'alum', 'mr.', 'pibb', 'graham', 'giniger']","['O', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'O']"
4908,"['vanilla', 'butter', 'pocari', 'sweat', 'acai', 'cherry', 'peppe']","['B-FLA', 'I-FLA', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
4909,"['beer12oz', ""stewart's"", 'fountain', 'classics', 'cream', 'butter', '6pack', '$4', 'bottling']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
4910,"['fresca', 'straw/lemon', '12.5', 'green', 'tea', '99-ond', 'juice/soda']","['B-BRA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4911,"['at', 'winter']","['O', 'O']"
4912,"['bouteille', 'rockstar', 'energy', 'straw/lemonade', 'ge', 'sangria', 'señorial', 'spumoni']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA']"
4913,"['ricqlès', 'two', 'cola12oz', 'mangosteen', 'peach', '200']","['B-BRA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
4914,"['monster', 'energy', 'ginger', 'pineapple', 'grill', 'energy1']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
4915,"['tax', 'fre', ""barq's"", 'stubborn', 'cocacola', 'aquarius', 'gua']","['O', 'O', 'B-BRA', 'O', 'O', 'B-BRA', 'O']"
4916,"['wingit', 'cranberry', 'raisin']","['O', 'B-FLA', 'I-FLA']"
4917,"['dr', 'pepper', 'caramel', 'butter', 'grill', 'Acai', '6pack', 'station']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'O', 'O']"
4918,"['venom', 'energy', ""leinenkugel'""]","['B-BRA', 'I-BRA', 'O']"
4919,"['melo', 'chocolate', 'milk', 'bu', 'voodoo', 'os', 'sletzer']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'O', 'O']"
4920,"['dasani', 'cobbler', 'blueberry', 'mineral', 'cheerwine', 'tum']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
4921,"['swt', 'barr', 'brewb']","['O', 'B-BRA', 'O']"
4922,"['orangina', 'head', 'pepsi', 'mint', 'cooling', '16fz']","['B-BRA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4923,"['canadra', 'butter', 'pecan', 'melon', 'various', 'cof-']","['O', 'B-FLA', 'I-FLA', 'B-FLA', 'I-FLA', 'O']"
4924,"['plk', 'juice', 'various', 'inca', 'kola', 'stewarts']","['O', 'B-FLA', 'I-FLA', 'B-BRA', 'I-BRA', 'O']"
4925,"['nehi', 'pistachio', 'wb', 'faygo']","['B-BRA', 'B-FLA', 'O', 'O']"
4926,"['frutas', 'cola-coke', 'chocolate', 'produ', 'oragina']","['O', 'B-BRA', 'B-FLA', 'O', 'O']"
4927,"['20oz-24oz', '24/1', 'dr', ""brown's"", 'white', 'tea', 'cdr', 'artois.']","['O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
4928,"['sweetwater', 'nurses', 'moxie', 'yerba', 'mate', 'cra']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4929,"['input', '10oz', 'prickly', 'pear', 'barrelhead', 'root', 'beer', '20oz-dark', 'youth']","['O', 'O', 'B-FLA', 'I-FLA', 'B-BRA', 'I-BRA', 'I-BRA', 'O', 'O']"
4930,['cheerwine'],['B-BRA']
4931,"['dsrt', 'non', ""stewart's"", 'fountain', 'classics', 'comb']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'O']"
4932,"['bev.', 'ginger', 'pear', 'scweppes', 'floats', 'pepperi', 'heineken']","['O', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O', 'O']"
4933,"['caffenie', 'specia', 'delaware', 'punch', '4', 'sugar1']","['O', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
4934,"['gatorade', 'tea', 'black', '.', 'sierra', 'mist', '2nd', 'mandarinorangesparklng']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
4935,"['loquat', 'lucozade']","['B-FLA', 'B-BRA']"
4936,"['mint', 'spring', 'marshmello', '50/50', 'canad', 'country']","['B-FLA', 'I-FLA', 'O', 'B-BRA', 'O', 'O']"
4937,"['#20', 'cream', 'butter', 'chocolate', 'cinnamon', '29', 'man']","['O', 'B-FLA', 'I-FLA', 'B-FLA', 'I-FLA', 'O', 'O']"
4938,"['tizer', ""duke's"", 'donut', 'glazed', 'create']","['B-BRA', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4939,"['32`oz', '$ginger']","['O', 'O']"
4940,"['la', 'ne', 'red.']","['O', 'O', 'O']"
4941,"['#20', ""stewart's"", 'fountain', 'classics', 'fever-free', 'canada', 'dry', 'ice', 'liberty']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
4942,"['cloudburst', 'clementine', 'caffeine', 'off']","['O', 'B-FLA', 'O', 'O']"
4943,"['full', 'throttle', 'cherry', 'berry', 'ozcherry', 'thrive', 'amaretto']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'B-FLA']"
4944,"['splash', 'lto:', 'lift', '24oz.', 'bf']","['O', 'O', 'B-BRA', 'O', 'O']"
4945,"['white', 'peach', 'seltzer', 'brothers', 'passion', 'fruit', 'formula']","['B-FLA', 'I-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
4946,"['drk', 'appletiser', 'cu', 'jones', 'soda', 'ksk-fountain']","['O', 'B-BRA', 'O', 'B-BRA', 'I-BRA', 'O']"
4947,"['k', '4.0', 'hires', 'root', 'beer', 'inca', 'kola', 'barrel']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-BRA', 'I-BRA', 'O']"
4948,"['oronamin', 'c', 'drink', 'black', 'currant', 'sunkistcan', 'apricot', 'mango', 'fizz', '1893']","['B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4949,"['sprite-mexico', 'limca', 'pistachio', 'verite']","['O', 'B-BRA', 'B-FLA', 'O']"
4950,"['bottle', 'houston', 'frescolita', 'lychee', 'mandarinorange', 'vernors', 'poppi', 'tropical20']","['O', 'O', 'B-BRA', 'B-FLA', 'O', 'B-BRA', 'O', 'O']"
4951,"['23', 'banana', 'pricklee', 'hawaiian', 'punch', '42.2oz']","['O', 'B-FLA', 'O', 'B-BRA', 'I-BRA', 'O']"
4952,"['pepsi', 'tahini', 'type', '12z', 'sprite', 'ranch', 'canaada', 'f']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA', 'O', 'O']"
4953,"['pepprr', 'lymondade', 'julmust', 'jasmine', '20ozdiet', 'orangina', 'dragon', 'berry']","['O', 'O', 'B-BRA', 'B-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA']"
4954,"['irn-bru', 'bvc-sunny', 'honeydew', 'toronja']","['B-BRA', 'O', 'B-FLA', 'O']"
4955,"['inca', 'kola', '-ale-8', 'lemona', 'tab', 'pie', 'pumpkin', 'treat']","['B-BRA', 'I-BRA', 'O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4956,"['misttwist', 'guanabana', 'soda/combos']","['O', 'B-FLA', 'O']"
4957,"['mamay', 'alm', 'volta']","['B-FLA', 'O', 'O']"
4958,"['lava', 'sprite', 'pineapple', 'mango', 'cap', 'bever', 'grape', '(various)']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'B-FLA', 'I-FLA']"
4959,"['french', 'toast', 'manda', 'whit', 'coke', 'unsweet']","['B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'O']"
4960,"['verite', '26']","['O', 'O']"
4961,"['nurses', 'fanta', 'mango', 'hot', 'tumbler']","['O', 'B-BRA', 'B-FLA', 'O', 'O']"
4962,"['mt.', 'oange', 'powerade', 'cucumber', 'mojito', 'cranberry', 'tahitian']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'B-FLA', 'O']"
4963,"[""stewart's"", 'fountain', 'classics', 'toronja', 'wingit', 'cap']","['B-BRA', 'I-BRA', 'I-BRA', 'O', 'O', 'O']"
4964,"['amp', 'energy', 'products', '-bottle', '20oz.']","['B-BRA', 'I-BRA', 'O', 'O', 'O']"
4965,"['cola12oz', 'sunkist', '16oz3', 'lilt', 'cinnamint', 'lebron`s']","['O', 'B-BRA', 'O', 'B-BRA', 'B-FLA', 'O']"
4966,"['1.69', '0z', 'frescolita', 'mustard', 'mt.']","['O', 'O', 'B-BRA', 'B-FLA', 'O']"
4967,"['ondemand', 'peppermint', 'la', 'sierra', 'mist']","['O', 'B-FLA', 'O', 'B-BRA', 'I-BRA']"
4968,"['health-ade', 'jones', 'soda', 'ct', '7', 'up', '20ml']","['O', 'B-BRA', 'I-BRA', 'O', 'B-BRA', 'I-BRA', 'O']"
4969,"['seasonal', 'rt-20oz', 'masking', 'bitter', 'coke16']","['O', 'O', 'B-FLA', 'I-FLA', 'O']"
4970,"['time', 'gini', 'sprite-', 'pepst', 'soda20oz', '3.5']","['O', 'B-BRA', 'O', 'O', 'O', 'O']"
4971,"['beverage-', 'dr.brown', 'cinnamon', 'spice', 'burst', 'honey', 'cinnamon', 'noo']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
4972,"['corn', 'pepper/sprite', 'moxie', 'blueberry', 'pomegranate', 'bruce', 'mexican355ml']","['B-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
4973,[],[]
4974,"['chee', 'oronamin', 'c', 'drink']","['O', 'B-BRA', 'I-BRA', 'I-BRA']"
4975,"['mello', 'yello', 'cinnamon', 'roll', 'bev-major', 'grpfrt', '=']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
4976,"['$3.50', 'man', 'coca-colaâ®']","['O', 'O', 'O']"
4977,"['gift', 'pistachio', 'org.', 'fanta', 'marshmallow', 'toasted', 'crema']","['O', 'B-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4978,"['hals', 'pepper/sprite', ""canfield's"", 'diet', 'chocolate', 'fudge', 'cinnamint', 'bt']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'O']"
4979,"['cherries', 'ibc', 'root', 'beer', 'caramel', 'nutty', 'wave', 'ale-8-one', 'redpop', 'ltd']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O', 'O']"
4980,"['vanilla1', 'spearmint', '2.50', 'hemp', 'type', 'legend', 'rasp.']","['O', 'B-FLA', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
4981,"['mini', 'Acai', 'blueberry', 'mtdewict20oz', 'slh']","['O', 'B-FLA', 'B-FLA', 'O', 'O']"
4982,"['20floz', 'flower', 'various', 'julebrus', 'horseradish', 'jack']","['O', 'B-FLA', 'I-FLA', 'B-BRA', 'B-FLA', 'O']"
4983,"[""hale's"", 'pepsi-can', 'zeroi', 'tiramisu', 'jarrritos']","['O', 'O', 'O', 'B-FLA', 'O']"
4984,"['ze', 'cran', 'nehi', 'boost', 'online', 'jarritos', 'coze', 'selzter']","['O', 'O', 'B-BRA', 'O', 'O', 'B-BRA', 'O', 'O']"
4985,"['tizer', 'btl-', 'oz3', 'dr', ""brown's"", 'mango', 'pineapple', 'ss-bottle', 'pepsi20oz']","['B-BRA', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
4986,"['sodastream', '-vanilla', 'almond', 'chocolate', '24oz.']","['B-BRA', 'O', 'B-FLA', 'I-FLA', 'O']"
4987,"['des', '50/50', 'cotton', 'candy', 'marg', 'tea', 'white', 'bvc-big']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
4988,"['1.50', 'frosted', 'canada', 'dry', 'som']","['O', 'O', 'B-BRA', 'I-BRA', 'O']"
4989,"['cola-coke', 'cooling', 'mint', 'disposable', 'dr', 'pepper', 'mediu', ""stewat's""]","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
4990,"['brj', 'pocari', 'sweat', 'pepsi-zero', 'barqâ\x80\x99s']","['O', 'B-BRA', 'I-BRA', 'O', 'O']"
4991,"['lemon', 'reg', 'brands']","['B-FLA', 'O', 'O']"
4992,"['avalanche', 'guava', 'kicks', 'shirley']","['O', 'B-FLA', 'O', 'O']"
4993,"['3.5', 'butter', 'cream', 'pepper/sprite', 'berry', 'goji', 'mkt-']","['O', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
4994,"['selzer', 'mtndewmidnight', 'lilt', 'pour', 'pepis', 'lift', 'lemon', 'rasp.', 'coke1l']","['O', 'O', 'B-BRA', 'O', 'O', 'B-BRA', 'B-FLA', 'O', 'O']"
4995,"['sussex', 'golden', '2/15', 'pear', 'ginger', 'caffine']","['B-BRA', 'I-BRA', 'O', 'B-FLA', 'I-FLA', 'O']"
4996,"['cranber', 'ibc', 'root', 'beer', 'cinnamon', 'ameyal', ""bev-barg's"", 'bottle500ml']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'B-BRA', 'O', 'O']"
4997,"['for2', 'schweppes', 'pomelo', 'tum', ""duke's""]","['O', 'B-BRA', 'B-FLA', 'O', 'B-BRA']"
4998,"[""reed's"", '20z', 'sunkist', 'lemon', 'berry', 'marshmello']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
4999,"['orangade', 'delaware', 'punch', 'mangolime', ""canfield's"", 'diet', 'chocolate', 'fudge', 'label']","['O', 'B-BRA', 'I-BRA', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'I-BRA', 'O']"
5000,"['fla', 'coca-cola', 'punch', 'berry', 'mocktail', 'anise', 'nature']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'O']"
5001,"['lift', 'tea', 'white', 'helados', 'canyon', 'julebrus']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA']"
5002,"['throwb', 'cinnamon', 'honey', 'french', 'toast']","['O', 'B-FLA', 'I-FLA', 'B-FLA', 'I-FLA']"
5003,"['coca-cola', 'razzleberry', 'dtdrpepper', 'cherry', '(various)']","['B-BRA', 'B-FLA', 'O', 'B-FLA', 'I-FLA']"
5004,"['juice-kimmel', 'mtndewmajormelon', 'fanta', 'french', 'toast', 'stella']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
